"","subject","age_months","gender","outcome_order","domain","task","expected","unexpected","diff_log"
"46",9,23.3,"female","unexp_first","physical","continuity",3.39182021984956,2.94233149682688,-0.449488723022683
"47",9,23.3,"female","unexp_first","physical","support",2.96320908184843,3.22525543183224,0.262046349983809
"48",9,23.3,"female","unexp_first","social","fairness",2.54847678183419,3.12037471876127,0.571897936927075
"49",9,23.3,"female","unexp_first","social","reach",2.006870848845,2.6447553507299,0.637884501884896
"50",9,23.3,"female","unexp_first","social","snack",2.63332665490627,2.01223279198639,-0.621093862919888
"51",10,20.8,"male","exp_first","physical","containment",3.04070563919672,2.33020026002702,-0.710505379169703
"52",10,20.8,"male","exp_first","physical","continuity",3.1689888026854,2.54944517092557,-0.619543631759832
"53",10,20.8,"male","exp_first","physical","solidity",2.7714198150348,2.09433015417359,-0.677089660861213
"54",10,20.8,"male","exp_first","physical","support",2.76000994003292,1.93441576962958,-0.825594170403343
"55",10,20.8,"male","exp_first","social","drink",3.0089950674324,2.45289846957083,-0.556096597861575
"56",10,20.8,"male","exp_first","social","fairness",3.40119738166216,2.61214987669533,-0.789047504966821
"57",10,20.8,"male","exp_first","social","reach",2.89526174319036,2.57814580491348,-0.317115938276875
"58",11,21.8,"female","unexp_first","physical","solidity",2.52546158595442,3.14587493198371,0.620413346029292
"59",11,21.8,"female","unexp_first","physical","support",2.86562358820697,2.7239235502585,-0.141700037948471
"60",11,21.8,"female","unexp_first","social","reach",3.12591582240883,3.23875719542203,0.1128413730132
"61",11,21.8,"female","unexp_first","social","snack",3.40119738166216,3.24079668148973,-0.16040070017243
"62",13,22.3,"female","exp_first","physical","containment",3.11971825333498,1.67147330335355,-1.44824494998143
"63",13,22.3,"female","exp_first","physical","continuity",3.33630229072227,2.90799335924598,-0.428308931476284
"64",13,22.3,"female","exp_first","physical","solidity",3.29717108901747,3.06712226964066,-0.230048819376802
"65",13,22.3,"female","exp_first","social","drink",3.40119738166216,3.40119738166216,0
"66",13,22.3,"female","exp_first","social","fairness",3.32299663435468,3.34351827007548,0.0205216357207969
"67",13,22.3,"female","exp_first","social","reach",2.77525895079566,3.15674404376119,0.381485092965534
"68",13,22.3,"female","exp_first","social","snack",3.03687421688517,3.13159738952473,0.0947231726395676
"69",14,20.3,"female","exp_first","physical","containment",3.21567069391925,2.91017438519234,-0.305496308726908
"70",14,20.3,"female","exp_first","physical","continuity",3.34340964118092,3.1389664416399,-0.204443199541021
"71",14,20.3,"female","exp_first","physical","solidity",3.20245332629208,2.56186769092413,-0.64058563536795
"72",14,20.3,"female","exp_first","physical","support",2.58021682959233,2.50143595173921,-0.0787808778531143
"73",14,20.3,"female","exp_first","social","drink",3.01882798834864,2.99707185848305,-0.0217561298655928
"74",14,20.3,"female","exp_first","social","fairness",3.22943930337777,3.29550905088912,0.0660697475113468
"75",14,20.3,"female","exp_first","social","reach",2.98227312017999,2.40553306224649,-0.576740057933498
"76",14,20.3,"female","exp_first","social","snack",3.10368941505908,2.67133635647782,-0.432353058581266
"77",15,18.6,"female","unexp_first","physical","continuity",1.81423232508011,1.91102289005487,0.0967905649747591
"78",15,18.6,"female","unexp_first","social","drink",1.85763221337876,2.43191867910163,0.57428646572287
"79",15,18.6,"female","unexp_first","social","reach",2.9386524977041,2.95055005076076,0.0118975530566621
"80",17,23.5,"female","exp_first","physical","containment",3.40119738166216,3.40119738166216,0
"81",17,23.5,"female","exp_first","physical","solidity",3.40119738166216,3.09828886187908,-0.302908519783073
"82",17,23.5,"female","exp_first","physical","support",3.16800349449444,3.35200713747138,0.184003642976939
"83",17,23.5,"female","exp_first","social","drink",3.31769966915859,2.92635633368465,-0.391343335473945
"84",17,23.5,"female","exp_first","social","fairness",3.38633826725841,1.78732487216019,-1.59901339509822
"85",17,23.5,"female","exp_first","social","reach",2.38959646998368,3.0523327450707,0.662736275087025
"86",17,23.5,"female","exp_first","social","snack",3.37279790714046,3.24548785506561,-0.127310052074851
"87",18,22.9,"male","exp_first","physical","containment",2.85647020622048,2.69462718077007,-0.161843025450414
"88",18,22.9,"male","exp_first","physical","continuity",3.05289068739394,3.0708397460408,0.0179490586468565
"89",18,22.9,"male","exp_first","physical","solidity",3.06285423710513,3.11262602502549,0.0497717879203594
"90",18,22.9,"male","exp_first","physical","support",3.24415363205247,3.03879176301444,-0.205361869038031
"91",18,22.9,"male","exp_first","social","drink",3.40119738166216,3.08725757612164,-0.313939805540517
"92",18,22.9,"male","exp_first","social","fairness",3.23467949004133,2.87850218234078,-0.356177307700545
"93",18,22.9,"male","exp_first","social","reach",3.28808257722432,2.96721710324597,-0.320865473978354
"94",18,22.9,"male","exp_first","social","snack",3.17638577324725,3.16596503302894,-0.010420740218307
"95",19,23,"male","unexp_first","physical","continuity",2.08709931174675,2.91885122921803,0.831751917471279
"96",19,23,"male","unexp_first","physical","solidity",2.86010064149397,3.38642209608,0.526321454586031
"97",19,23,"male","unexp_first","physical","support",2.99773027621666,2.92959247104945,-0.0681378051672179
"98",19,23,"male","unexp_first","social","drink",3.0285651636265,3.04030059303387,0.0117354294073686
"99",19,23,"male","unexp_first","social","fairness",2.88098665566844,3.19740809524409,0.316421439575652
"100",19,23,"male","unexp_first","social","reach",3.14336827236006,3.34191055268738,0.198542280327325
"101",19,23,"male","unexp_first","social","snack",3.26575941076705,3.36031975586598,0.0945603450989312
"102",20,17.6,"female","unexp_first","physical","containment",3.38099467434464,2.36085400111802,-1.02014067322661
"103",20,17.6,"female","unexp_first","physical","continuity",2.74479974331095,3.32934327789417,0.58454353458322
"104",20,17.6,"female","unexp_first","physical","support",2.49485698064117,3.16800349449444,0.673146513853276
"105",20,17.6,"female","unexp_first","social","drink",3.01096940173612,3.24637623583593,0.235406834099811
"106",20,17.6,"female","unexp_first","social","fairness",2.79284673776229,1.74958454417734,-1.04326219358494
"107",20,17.6,"female","unexp_first","social","snack",3.40119738166216,1.83231440539447,-1.56888297626768
"108",21,20.5,"male","exp_first","physical","containment",2.83556352140117,2.94233149682688,0.106767975425706
"109",21,20.5,"male","exp_first","physical","continuity",2.89968652917071,3.14587493198371,0.246188402812998
"110",21,20.5,"male","exp_first","physical","solidity",2.49948609955116,2.94864066602014,0.449154566468983
"111",21,20.5,"male","exp_first","physical","support",3.03687421688517,2.68375750853317,-0.353116708352001
"112",21,20.5,"male","exp_first","social","drink",3.19755535731653,3.20809404926491,0.0105386919483808
"113",21,20.5,"male","exp_first","social","fairness",3.39230843424491,3.13587890529723,-0.256429528947676
"114",21,20.5,"male","exp_first","social","reach",2.30124730015239,2.55345319232311,0.252205892170724
"115",21,20.5,"male","exp_first","social","snack",3.26116873705845,2.92018545223117,-0.340983284827282
"116",22,18.4,"male","exp_first","physical","containment",2.1701959049483,1.83736998048011,-0.332825924468193
"117",22,18.4,"male","exp_first","physical","continuity",3.01820512940605,2.93172694357808,-0.0864781858279708
"118",22,18.4,"male","exp_first","physical","solidity",2.59658892997,2.09924416897602,-0.497344760993987
"119",22,18.4,"male","exp_first","social","drink",3.1625809350447,3.29673012198154,0.134149186936843
"120",22,18.4,"male","exp_first","social","fairness",3.16618425479256,3.14925064226312,-0.0169336125294395
