subject,age_months,gender,outcome_order,domain,task,outcome,familiarization,test_window
22,18.4,male,exp_first,social,drink,expected,0.9498910675381264,0.7877169559412548
22,18.4,male,exp_first,social,drink,unexpected,1,0.9008042895442373
22,18.4,male,exp_first,social,fairness,expected,1,0.7905604719764009
22,18.4,male,exp_first,social,fairness,unexpected,1,0.7772861356932149
22,18.4,male,exp_first,social,reach,expected,0.81855388813097,0.4157754010695179
22,18.4,male,exp_first,social,reach,unexpected,1,0.30923694779116595
22,18.4,male,exp_first,social,snack,expected,0.8187633262260128,0.15866666666666662
23,19.6,female,unexp_first,physical,continuity,expected,1,0.43850267379679225
23,19.6,female,unexp_first,physical,continuity,unexpected,1,0.4520000000000015
23,19.6,female,unexp_first,physical,solidity,expected,1,0.5874499332443237
23,19.6,female,unexp_first,physical,solidity,unexpected,1,1
23,19.6,female,unexp_first,physical,support,expected,1,0.6546666666666674
23,19.6,female,unexp_first,physical,support,unexpected,1,0.6533333333333328
23,19.6,female,unexp_first,social,drink,expected,1,0.5554072096128159
23,19.6,female,unexp_first,social,drink,unexpected,1,0.8605898123324401
23,19.6,female,unexp_first,social,fairness,expected,1,0.2669616519174036
23,19.6,female,unexp_first,social,fairness,unexpected,1,0.7610619469026538
23,19.6,female,unexp_first,social,reach,expected,1,0.8823529411764711
23,19.6,female,unexp_first,social,reach,unexpected,1,0.7456492637215564
23,19.6,female,unexp_first,social,snack,expected,1,0.8626666666666671
24,15.7,male,unexp_first,physical,containment,expected,0.9131313131313133,0.27333333333333515
24,15.7,male,unexp_first,physical,containment,unexpected,0.9893617021276595,0.6840000000000009
24,15.7,male,unexp_first,physical,continuity,expected,0.9813333333333332,0.9050802139037429
24,15.7,male,unexp_first,physical,continuity,unexpected,1,0.9093333333333335
24,15.7,male,unexp_first,physical,solidity,expected,1,0.5767690253671564
24,15.7,male,unexp_first,physical,solidity,unexpected,0.9409448818897641,0.4973333333333354
24,15.7,male,unexp_first,social,drink,unexpected,1,0.4316353887399448
24,15.7,male,unexp_first,social,fairness,expected,1,0.32153392330383596
24,15.7,male,unexp_first,social,fairness,unexpected,1,0.575221238938052
24,15.7,male,unexp_first,social,reach,expected,1,0.6163101604278108
24,15.7,male,unexp_first,social,reach,unexpected,1,0.657295850066936
24,15.7,male,unexp_first,social,snack,expected,0.5906183368869955,0.3373333333333332
25,21.2,female,exp_first,physical,containment,expected,1,0.22533333333333327
25,21.2,female,exp_first,physical,continuity,expected,0.937333333333333,0.6764705882352953
25,21.2,female,exp_first,physical,continuity,unexpected,1,0.5560000000000012
25,21.2,female,exp_first,physical,support,expected,1,0.7453333333333323
25,21.2,female,exp_first,physical,support,unexpected,1,0.32133333333333447
25,21.2,female,exp_first,social,drink,expected,1,0.3938584779706257
25,21.2,female,exp_first,social,drink,unexpected,1,0.2506702412868636
25,21.2,female,exp_first,social,reach,expected,1,0.6951871657754013
25,21.2,female,exp_first,social,reach,unexpected,1,0.2356091030789818
25,21.2,female,exp_first,social,snack,expected,1,0.7159999999999995
25,21.2,female,exp_first,social,snack,unexpected,1,0.9132176234979973
26,23.8,female,exp_first,physical,containment,expected,1,0.4400000000000016
26,23.8,female,exp_first,physical,containment,unexpected,0.9957446808510638,0.24000000000000163
26,23.8,female,exp_first,physical,continuity,expected,1,0.7967914438502672
26,23.8,female,exp_first,physical,continuity,unexpected,0.6706666666666671,0.12933333333333247
26,23.8,female,exp_first,physical,solidity,expected,0.9445438282647584,0.9145527369826435
26,23.8,female,exp_first,physical,solidity,unexpected,1,0.4853333333333352
26,23.8,female,exp_first,physical,support,expected,0.9539748953974891,0.42533333333333484
26,23.8,female,exp_first,physical,support,unexpected,0.5615866388308991,0.057333333333333764
26,23.8,female,exp_first,social,drink,expected,1,0.9906542056074767
26,23.8,female,exp_first,social,drink,unexpected,0.9753086419753088,0.8096514745308311
26,23.8,female,exp_first,social,fairness,expected,0.980821917808219,0.8613569321533929
26,23.8,female,exp_first,social,fairness,unexpected,1,0.7507374631268444
26,23.8,female,exp_first,social,reach,expected,1,0.4692513368983961
26,23.8,female,exp_first,social,reach,unexpected,0.9906666666666666,0.46586345381526195
26,23.8,female,exp_first,social,snack,expected,1,0.6573333333333354
26,23.8,female,exp_first,social,snack,unexpected,0.8681541582150105,0.3604806408544707
27,24.7,male,unexp_first,physical,solidity,expected,0.9069767441860466,0.3538050734312418
27,24.7,male,unexp_first,physical,solidity,unexpected,1,0.5706666666666671
27,24.7,male,unexp_first,physical,support,expected,1,0.4720000000000002
27,24.7,male,unexp_first,physical,support,unexpected,0.3486430062630491,0.5346666666666668
27,24.7,male,unexp_first,social,drink,expected,0.8126361655773406,0.524699599465952
27,24.7,male,unexp_first,social,drink,unexpected,1,0.5777479892761428
27,24.7,male,unexp_first,social,reach,expected,1,0.39572192513369137
27,24.7,male,unexp_first,social,reach,unexpected,1,0.5729585006693441
27,24.7,male,unexp_first,social,snack,expected,1,0.74
27,24.7,male,unexp_first,social,snack,unexpected,1,0.8037383177570094
28,16.4,male,unexp_first,physical,containment,expected,1,0.48266666666666885
28,16.4,male,unexp_first,physical,containment,unexpected,1,0.5306666666666691
28,16.4,male,unexp_first,physical,continuity,expected,1,0.770053475935829
28,16.4,male,unexp_first,physical,continuity,unexpected,0.9906666666666666,0.9306666666666662
28,16.4,male,unexp_first,physical,solidity,expected,1,0.4445927903871825
28,16.4,male,unexp_first,physical,solidity,unexpected,0.9665354330708661,0.7400000000000009
28,16.4,male,unexp_first,physical,support,expected,1,0.31599999999999895
28,16.4,male,unexp_first,physical,support,unexpected,1,0.3560000000000029
28,16.4,male,unexp_first,social,drink,expected,1,0.663551401869158
28,16.4,male,unexp_first,social,drink,unexpected,1,0.7882037533512066
28,16.4,male,unexp_first,social,fairness,expected,0.9863013698630136,0.6238938053097347
28,16.4,male,unexp_first,social,fairness,unexpected,1,0.9705014749262539
28,16.4,male,unexp_first,social,reach,expected,0.577080491132331,0.2767379679144372
28,16.4,male,unexp_first,social,reach,unexpected,1,0.4069611780455148
28,16.4,male,unexp_first,social,snack,expected,0.8571428571428582,0.44666666666666566
28,16.4,male,unexp_first,social,snack,unexpected,1,0.6301735647530029
29,24.7,male,exp_first,physical,containment,expected,1,0.4706666666666649
29,24.7,male,exp_first,physical,containment,unexpected,0.25106382978723535,0.6559999999999967
29,24.7,male,exp_first,physical,continuity,expected,0.5946666666666692,0.9050802139037426
29,24.7,male,exp_first,physical,solidity,expected,1,0.7890520694258999
29,24.7,male,exp_first,physical,solidity,unexpected,1,0.5786666666666685
29,24.7,male,exp_first,physical,support,expected,0.30543933054393285,0.9986666666666667
29,24.7,male,exp_first,physical,support,unexpected,0.7578288100208767,0.9173333333333339
29,24.7,male,exp_first,social,drink,expected,0.9782135076252723,0.716955941255006
29,24.7,male,exp_first,social,drink,unexpected,0.7736625514403295,0.5898123324396787
29,24.7,male,exp_first,social,fairness,expected,0.5095890410958889,0.8879056047197653
29,24.7,male,exp_first,social,fairness,unexpected,0.17456359102244481,0.890855457227138
29,24.7,male,exp_first,social,reach,expected,0.9413369713506129,0.5668449197860975
29,24.7,male,exp_first,social,reach,unexpected,0.9626666666666664,0.4243641231593016
29,24.7,male,exp_first,social,snack,expected,0.9850746268656718,0.898666666666668
29,24.7,male,exp_first,social,snack,unexpected,1,0.8117489986648868
